Name,Publisher,Version,Licenses,Provenance
platform/external/jetbrains/JetBrainsRuntime,android,jbr-release-17.0.10b1207.1,"Libpng, Unknown, Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, GPL-2.0-only, Unknown",Unknown
dragonwell8_jdk,alibaba,jdk8u222-b03,"GPL-2.0-only, Unknown, Libpng",Unknown
apothecary,openframeworks,bleeding,"Libpng, curl, Unknown, Unknown, Zlib, Unknown, SGI-B-2.0, Unknown, Unknown, Unlicense, Unknown, GPL-3.0-or-later, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, OpenSSL, Unknown",Unknown
slik-linux-jolt,simargl,stage0-a5,Libpng,Unknown
libpng-android-prefab,LimeVista,1.6.43.1,None,Unknown
tinyexr,syoyo,2a5ea89,"BSD-3-Clause, Zlib, MIT",Unknown
MetaverseKit,wabiverse,1.1.6,"Libpng, Unknown, CC-BY-3.0, Unknown, Apache-2.0, MIT",Unknown
godot,sks7420643,3.5-stable,"Unknown, CC0-1.0, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Unknown, Libpng, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, OpenSSL, Unknown, Unknown, Unknown",Unknown
dependencies,supertuxkart,preview,"CC-BY-NC-SA-3.0, CC0-1.0, Unknown, Apache-2.0, MIT, BSD-3-Clause, Libpng, Unknown, Unknown, Unknown, Unknown, Zlib, LGPL-2.0-only, Unknown, Unknown, Unknown, GPL-2.0-only, curl, Unknown, OFL-1.1, Unknown",Unknown
miniupnpc,transmission,2_2_8,BSD-3-Clause,Unknown
miniupnp,miniupnp,2_2_3,BSD-3-Clause,Unknown
miniupnpc,Thomas BERNARD,2.2.7,BSD-3-Clause,Unknown
MiniUPnP-for-Android-Prebuilt,r4sas,84a4bab,None,Unknown
asuswrt-rtn18u,gzenux,rtn18u_384.13-beta1,"Unknown, Unknown, NCSA, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, curl, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-2-Clause-Views, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-2.0-or-later, Unknown, Unknown, Unknown, BSD-2-Clause, Unknown, Unknown, Unlicense, CC-PDDC, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, ISC, Unknown, BSD-3-Clause, Unknown, Unknown, Libpng, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-3.0-only, X11-distribute-modifications-variant, LGPL-2.0-only, Unknown, Unknown, Unknown, Unknown, OpenSSL, Unknown, Unknown, Unknown, Unknown, MIT, bzip2-1.0.6, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, X11, Unknown, GPL-2.0-only, Unknown, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown",Unknown
warzone2100,Warzone2100,3.3.0,"Unknown, MIT, MPL-2.0, Unknown, Unknown, LGPL-2.1-only, OFL-1.1, Unknown, GPL-3.0-only, Apache-2.0, BSD-3-Clause, GPL-2.0-only, BSL-1.0, Unknown",Unknown
codecollection,zzilla,4062273,Apache-2.0,Unknown
tomato-arm-kille72,ledudu,2018.1.031,BSD-3-Clause,Unknown
xatlas,jpcy,16ace52,MIT,Unknown
SPIRV-Cross,KhronosGroup,sdk-1.3.231.0,"Apache-2.0, MIT",Unknown
zerotierone,zerotier,1.1.0,"MIT, Unknown, Unknown, Apache-2.0, GPL-3.0-only, BSD-3-Clause",Unknown
compushady,rdeioris,e787af3,"Unknown, Apache-2.0, MIT",Unknown
MapleEngine,flwmxd,64d9c68,"Apache-2.0, MIT",Unknown
SHADERed,dfranx,1.5.4,"Apache-2.0, MIT",Unknown
tempest,try,e532d4a,"Unknown, MIT",Unknown
PhasmaEngine,christoskaramou,358c103,"Apache-2.0, MIT",Unknown
abstract-gpu,desromech,0.1.24-alpha,"Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, Unknown",Unknown
proton-ge-custom-tarball-maker,Lctrs,6.13-GE-1-1,Apache-2.0,Unknown
volk,zeux,vulkan-sdk-1.3.283.0,MIT,Unknown
vkdispatch,pypi,0.0.4,"Unknown, Unknown, Unknown, Apache-2.0, MIT",Unknown
temurin11-binaries,adoptium,jdk-11.0.23+9,"Libpng, FTL, Unknown, Unknown, MIT, BSD-3-Clause, BSD-2-Clause",Unknown
xpydf,pypi,0.1.4.5,FTL,Unknown
libwebrtc-bin,crow-misia,112.5615.0.0,"Unknown, FTL, GPL-1.0-or-later, CC0-1.0, NCSA, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, BSD-4-Clause-UC, MPL-2.0, IJG, Unknown, ICU, Unknown, Unknown, Unknown, Unknown, Zlib, SMLNJ, BSD-2-Clause, Unknown, Unknown, HPND, SGI-B-2.0, NAIST-2003, LGPL-2.1-or-later, LGPL-2.0-or-later, Unknown, Unknown, Unknown, OpenSSL, BSD-4-Clause, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
